Device_type,Language,Smartphone_user,Social_media_user,Videogame_player,TS_on_smartphone,TS_on_socialmedia,TS_on_videogames,No_of_kids_0_4,No_of_kids_5_11,No_of_kids_12_17,No_of_kids_above_18,No_of_kids_at_home_0_11,No_of_kids_at_home_above_12,Kids_at_home,How_is_curret_days_parenting,As_a_parent_your_job_is,Time_spent_together,SP_in_socialmedia,SP_abt_children_with_family_frnds,SP_child_accomplishments,Because_other_parents_share,How_much_other_people_share,Feel_pressurised_to_share,Harm_vs_benifits,ML_learn_social_skills,ML_be_creative,ML_pursue_interest,ML_do_well_in_school,ML_healthy_frienships,ACCEPT_social_media,ACCEPT_videogames,ACCEPT_own_smartphone,ACCEPT_own_tablet_computer,RE_tech_companies,RE_government,RE_parents,ADV_socialmedia,ADV_online_blogs,ADV_other_parents,ADV_books_magazines,ADV_doctors,ADV_teachers,Confidence_abt_screen_time,How_often_distracted,Child_age_0_11,Child_gender,CHD_tv,CHD_computer,CHD_tablet,CHD_gaming_console,CHD_voice_assistant,CHD_smartphone,Child_first_age_smartphone,Child_owns_smartphones,Child_owns_smartphone_age,RS_to_contact,RS_peer_kids_have,RS_entertainment,RS_to_do_homework,CHSO_facebook,CHSO_instagram,CHSO_snapchat,CHSO_tiktok,CHSO_other_websites,Child_physical_activity,HCHU_smartphone,HCHU_socialmedia,HCHU_videogames,CO_online_bully,CO_screen_time,CO_sexual_explicit_content,CO_online_fraud,CO_violent_content,AW_on_tv,AW_videos,AW_websites,AW_socialmedia,AW_videogames,MNT_websites,MNT_take_away_mobile,MNT_screentime,MNT_call_records,MNT_parental_controls,MNT_socialmedia,MNT_gps,ALLOW_home_dinner,ALLOW_outside_dinner,ALLOW_before_bed,ALLOW_in_car,Uses_youtube,How_often_youtube,YT_new_cultures,YT_learn_new_things,YT_entertainment,YT_inappropriate_videos,YT_concern_inappropriate,YT_concern_ads,YT_concern_recommended,YT_preventing_inappropriate,Child_bullied_online,Confidence_that_child_tells_abt_bullying,P_metropolitan,P_region,P_age_categories,P_gender,P_education_level,P_race,P_nationality,P_marital_status,P_supporting_party,P_income,P_employment_type,P_neighborhood
1,0,0,0,1,1,1,1,1.0,1.0,0.0,0.0,2.0,0.0,0,0,2,1,0,0,0,3,0,3,0,4,2,3,3,3,3,1,5,0,1,0,2,0,1,1,0,0,0,0,0,7,0,1,1,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,1,1,1,1,1,1,1,1,2,2,1,2,2,0,0,0,0,1,4,2,1,4,2,4,3,1,3,1,3,0,3,0,1,4,2,1,0,3,125000,2,1
0,0,0,0,0,1,0,0,2.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,3,3,1,0,0,1,3,1,1,1,2,5,1,4,1,1,0,1,1,1,1,0,2,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,90000,0,0
1,0,0,0,0,0,2,0,1.0,3.0,1.0,0.0,4.0,1.0,0,0,0,1,0,0,3,0,0,3,0,1,3,0,2,0,1,1,0,5,0,0,0,1,0,0,1,0,1,2,2,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,3,1,3,1,1,2,1,1,1,1,0,0,1,1,1,3,2,4,1,1,4,3,1,4,1,3,0,2,0,0,0,0,0,0,0,250000,1,0
0,0,0,0,1,0,2,2,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,4,4,0,2,0,6,3,1,0,0,1,1,1,0,2,1,0,5,1,1,1,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,1,2,3,1,3,1,0,0,0,2,1,0,3,1,0,1,0,70000,0,0
0,0,0,0,0,1,0,0,1.0,2.0,0.0,0.0,3.0,0.0,0,0,0,1,0,3,0,0,0,1,0,2,0,2,2,2,0,1,0,0,3,1,0,1,0,0,1,1,1,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,0,2,0,0,3,3,125000,2,2
2,0,0,0,1,0,0,2,0.0,2.0,2.0,0.0,2.0,2.0,0,0,1,1,0,0,2,0,1,4,0,0,3,0,4,1,0,1,1,0,1,0,0,1,1,1,0,0,0,2,0,4,0,1,0,0,0,0,1,1,1,1,3,2,2,2,0,0,2,1,0,1,1,2,0,3,1,3,0,0,3,4,3,3,3,2,1,2,1,2,1,1,0,0,0,1,1,2,2,1,1,2,4,3,1,4,1,3,0,3,0,0,0,0,0,0,0,250000,0,0
0,0,0,0,0,1,0,0,0.0,2.0,0.0,0.0,2.0,0.0,0,0,1,2,0,0,3,0,0,1,0,0,1,1,0,3,1,1,0,0,0,3,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,4,2,0,0,0,0,0,0,0,2,0,0,1,2,1,2,3,3,0,0,0,3,3,3,3,3,1,1,2,2,1,2,2,0,0,1,1,1,2,4,4,1,1,1,4,4,2,1,3,0,3,0,0,0,0,0,0,2,250000,2,0
1,0,0,0,1,1,0,2,0.0,2.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,3,0,0,4,0,2,0,2,2,2,1,1,0,0,3,0,0,1,0,0,1,0,1,1,0,9,2,1,0,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,1,1,4,3,1,1,2,2,2,2,3,1,3,0,3,0,0,4,0,0,0,2,150000,1,0
1,0,0,0,1,0,2,2,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,2,1,1,2,1,1,0,0,3,4,0,1,0,0,1,0,1,0,0,1,1,1,0,0,2,1,0,8,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,3,1,2,4,4,1,3,0,0,0,3,0,0,4,0,0,0,2,150000,2,1
0,0,0,1,0,1,3,0,0.0,2.0,0.0,1.0,2.0,1.0,0,1,1,1,1,1,1,2,2,2,0,0,4,1,1,1,2,1,0,0,1,3,0,2,0,1,1,1,0,0,0,10,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,2,3,3,4,3,4,3,1,1,2,2,2,1,1,0,0,0,1,1,3,2,1,2,1,1,4,1,2,1,3,0,2,0,1,4,2,0,0,3,150000,2,0
0,0,0,0,1,0,2,1,0.0,2.0,0.0,0.0,2.0,0.0,0,0,1,1,0,0,3,3,0,0,0,0,1,0,4,0,1,1,0,4,1,2,0,1,1,0,1,0,0,1,0,10,1,1,1,1,1,1,1,4,2,0,0,0,0,0,0,1,0,0,0,1,2,1,2,3,1,0,1,0,1,1,1,1,1,1,1,2,2,1,2,2,0,0,0,1,1,5,4,4,2,2,4,3,2,3,1,2,0,0,0,1,0,0,0,0,0,125000,2,1
0,0,0,0,1,0,2,2,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,4,0,0,3,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2,7,1,1,0,1,1,1,1,4,1,2,2,1,1,2,0,0,0,0,0,0,2,0,2,0,0,3,0,0,1,1,1,1,1,2,1,2,2,1,1,1,1,0,1,1,1,1,2,3,1,1,4,3,1,3,2,2,0,1,0,0,2,0,0,4,3,30000,0,2
0,0,0,0,0,0,2,0,0.0,2.0,0.0,0.0,2.0,0.0,0,1,1,1,0,0,2,1,1,3,0,1,3,1,4,0,1,1,0,4,0,0,0,0,1,1,0,1,1,2,2,7,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,2,3,1,3,2,1,2,1,1,1,1,0,1,0,1,1,2,3,1,1,1,1,4,4,4,1,3,0,0,0,0,4,0,1,0,2,175000,2,0
0,0,0,0,1,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,2,2,1,1,2,1,4,0,1,1,4,4,1,0,1,0,0,0,3,3,1,0,0,1,1,0,0,1,4,1,0,0,0,1,1,1,1,1,1,2,1,2,2,0,0,0,0,0,2,3,0,1,3,0,3,3,3,1,1,1,3,1,1,1,2,2,2,1,2,1,0,0,1,1,1,1,3,1,2,1,4,4,3,1,3,0,1,0,1,2,1,0,1,2,30000,0,1
1,0,0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0,2,0,1,1,1,1,0,1,1,1,1,1,0,2,3,2,0,1,0,1,1,1,1,1,1,3,0,1,1,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,4,0,0,0,0,150000,2,0
1,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0,2,3,0,3,0,0,3,4,4,0,2,4,4,6,0,3,0,1,1,0,1,1,2,0,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,2,2,4,3,1,2,0,0,1,2,0,0,2,0,0,0,0,125000,0,2
0,0,0,0,1,0,2,2,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,3,0,3,0,0,1,3,4,1,1,3,0,2,0,2,3,1,0,0,1,1,0,0,2,0,0,5,1,1,0,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,2,3,1,3,3,0,0,0,0,1,0,5,0,0,3,1,50000,0,2
1,0,0,0,1,0,2,2,0.0,3.0,2.0,0.0,3.0,2.0,0,0,1,1,0,0,2,0,0,0,1,1,0,1,5,1,0,1,0,0,1,2,0,1,0,1,1,0,0,0,2,9,1,1,0,1,1,1,1,3,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,2,0,2,3,3,3,1,3,1,1,1,2,1,2,1,0,0,1,1,1,1,4,1,1,1,4,3,1,2,1,2,0,0,0,0,3,0,0,0,2,150000,2,0
1,0,0,0,1,1,0,2,2.0,0.0,0.0,0.0,2.0,0.0,0,0,1,0,2,1,1,2,1,1,0,0,1,3,1,1,0,1,0,1,0,0,0,1,1,1,1,0,2,1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,3,2,3,2,3,3,0,0,0,3,0,1,0,0,0,0,3,150000,2,0
1,0,0,0,1,1,0,2,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,3,0,0,0,0,1,0,1,5,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,11,1,1,1,1,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,3,3,3,3,1,1,2,1,1,1,1,0,1,1,1,1,3,1,3,1,1,4,3,1,2,1,3,0,2,0,0,4,0,0,1,3,250000,2,0
1,0,0,1,0,0,3,0,0.0,2.0,1.0,0.0,2.0,1.0,0,0,0,0,1,1,1,2,2,2,0,0,4,4,0,0,0,1,0,5,1,0,0,2,0,0,1,1,1,0,0,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,3,4,4,4,3,2,2,1,1,2,2,3,0,2,0,1,1,1,3,1,1,2,1,3,1,2,1,3,0,0,0,1,0,0,0,0,0,250000,2,0
0,0,0,0,1,0,0,2,0.0,3.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,3,0,1,3,0,1,4,0,0,1,1,1,1,5,0,0,0,0,1,1,0,0,0,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,125000,0,0
1,0,0,0,1,0,0,2,2.0,2.0,1.0,0.0,4.0,1.0,0,0,1,1,2,1,1,2,1,0,0,0,3,0,4,0,2,6,4,3,1,0,0,1,1,1,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,125000,2,2
1,0,0,0,1,1,0,2,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,2,1,1,2,1,1,0,0,1,4,4,0,1,1,0,5,0,0,0,1,1,1,0,0,1,0,0,3,0,1,1,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,1,1,2,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,4,2,0,0,3,150000,2,0
0,0,0,0,1,0,2,2,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,1,0,3,2,0,1,0,0,1,4,1,1,1,1,0,0,5,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,1,4,2,1,1,1,4,3,1,2,1,2,0,2,0,0,3,0,0,0,3,150000,1,0
0,0,0,0,1,0,0,2,2.0,1.0,0.0,0.0,3.0,0.0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,3,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,2,2,3,1,3,3,0,0,1,2,0,0,2,0,0,0,0,50000,0,2
0,0,0,0,1,0,2,2,0.0,2.0,1.0,0.0,2.0,1.0,0,0,1,1,0,0,3,0,1,4,0,0,3,1,4,0,1,1,1,0,0,3,0,0,1,0,0,0,0,1,0,7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,3,3,1,1,1,1,1,2,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,4,0,0,0,2,125000,2,2
0,0,0,0,0,1,2,0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,2,0,0,2,0,1,0,0,0,1,1,2,1,2,4,0,4,2,2,0,1,0,1,0,1,2,0,0,8,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125000,2,0
1,0,0,0,1,0,2,1,2.0,1.0,0.0,0.0,3.0,0.0,0,1,0,0,0,0,2,3,1,3,0,0,3,3,2,0,0,1,1,1,3,1,0,1,1,1,0,0,0,1,0,11,0,1,1,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,0,0,0,1,1,2,1,3,1,1,1,4,4,4,1,3,1,2,0,0,4,0,0,0,0,250000,2,2
0,0,0,0,1,0,2,2,2.0,2.0,0.0,0.0,4.0,0.0,1,0,0,1,0,0,3,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,1,2,3,3,1,1,1,1,1,2,2,1,1,1,0,0,0,0,1,3,2,3,2,2,4,2,2,3,1,2,0,1,0,0,0,0,0,0,2,250000,0,0
0,0,0,0,1,0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,0,0,1,0,0,3,3,0,1,3,1,2,0,2,2,2,1,5,0,5,0,3,0,0,1,1,0,0,2,0,0,8,1,1,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,2,1,4,4,1,0,0,0,1,0,0,5,3,0,0,2,125000,2,3
0,0,0,0,0,0,2,0,0.0,1.0,2.0,0.0,1.0,2.0,0,0,1,1,0,0,2,0,1,0,0,0,1,4,4,1,1,0,1,3,1,0,0,1,0,1,0,0,1,0,0,11,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,3,3,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,1,3,2,1,2,2,3,1,3,2,1,2,1,0,0,0,1,0,0,0,0,125000,2,2
1,0,0,0,0,0,2,0,0.0,1.0,2.0,0.0,1.0,2.0,0,0,0,0,0,3,0,0,1,1,0,1,4,1,0,1,0,0,0,5,0,0,0,0,1,1,0,0,0,1,0,7,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,3,1,3,1,2,2,2,1,1,1,0,0,1,1,1,4,2,1,1,1,4,3,1,2,1,3,0,2,0,1,4,0,0,5,2,250000,2,0
1,0,0,0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0,2,0,1,0,2,2,0,0,1,1,4,4,3,5,4,0,1,0,5,1,1,0,1,0,1,1,1,1,1,0,3,0,1,1,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2,1,2,3,3,1,3,1,2,2,1,1,2,1,1,1,1,0,1,1,1,2,3,1,2,4,3,3,3,1,2,0,0,0,1,5,0,0,3,1,90000,2,0
1,0,0,0,1,1,0,2,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,1,0,0,3,0,1,1,0,0,3,4,4,0,1,1,0,4,0,3,0,1,0,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,3,3,1,1,1,2,2,2,1,1,1,1,0,0,0,0,1,2,2,3,1,1,4,3,1,3,1,3,0,0,0,1,0,0,0,0,0,150000,2,2
1,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,4.0,0.0,1,0,1,1,0,0,2,4,0,1,0,0,1,1,0,1,0,0,1,4,0,0,0,1,1,0,1,0,0,0,2,11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,3,3,3,3,1,1,2,1,1,1,1,0,0,0,1,1,2,2,1,1,1,1,4,4,2,1,3,0,0,0,1,0,0,0,0,3,150000,2,2
1,0,0,0,0,1,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,3,0,0,3,1,4,3,0,1,2,0,1,3,0,0,1,2,1,0,0,0,0,4,0,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0,2,1,0,0,1,2,2,2,1,1,2,1,1,3,3,3,3,1,1,2,2,1,1,3,0,0,1,1,1,1,4,4,1,1,1,4,4,2,2,3,0,1,2,0,0,0,0,4,2,150000,2,0
0,0,0,0,1,0,0,1,2.0,0.0,0.0,0.0,2.0,0.0,0,0,1,1,0,0,2,1,1,3,1,0,1,1,4,1,0,1,0,5,1,1,2,1,1,1,1,0,2,1,0,8,0,1,0,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,2,4,3,1,2,0,0,0,2,0,1,4,0,0,0,0,150000,2,0
1,0,0,0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0.0,0,1,0,1,2,1,1,2,1,1,0,0,0,2,2,2,0,2,0,2,1,2,0,0,1,1,0,0,2,0,0,0,1,1,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,175000,2,0
